Symbol	Switch	Group	Tissue	NumSwitched
FLII	uc002gsr.1-uc002gsq.1	Interaction with driver	lusc	10
FLII	uc002gsr.1-uc002gsq.1	Interaction with driver	prad	23
FLII	uc002gsr.1-uc002gsq.1	Interaction with driver	luad	13
FLII	uc002gsr.1-uc002gsq.1	Interaction with driver	kirc	38
FLII	uc002gsr.1-uc002gsq.1	Interaction with driver	kirp	7
FLII	uc002gsr.1-uc002gsq.1	Interaction with driver	brca	8
SEPT10	uc002tew.2-uc010fjo.2	Interaction with driver	luad	6
SEPT10	uc002tew.2-uc010fjo.2	Interaction with driver	kirc	15
SEPT10	uc002tew.2-uc010fjo.2	Interaction with driver	kirp	3
SEPT10	uc002tew.2-uc010fjo.2	Interaction with driver	coad	4
DNAJA3	uc002cwl.2-uc010uxk.1	Interaction with driver	kich	4
DNAJA3	uc002cwl.2-uc010uxk.1	Interaction with driver	lusc	3
DNAJA3	uc002cwl.2-uc010uxk.1	Interaction with driver	prad	34
DNAJA3	uc002cwl.2-uc010uxk.1	Interaction with driver	hnsc	18
DNAJA3	uc002cwl.2-uc010uxk.1	Interaction with driver	kirp	22
ARHGAP17	uc002dnb.2-uc002dmw.2	Interaction with driver	kich	2
ARHGAP17	uc002dnb.2-uc002dmw.2	Interaction with driver	kirp	15
ILF3	uc002mpn.2-uc002mpq.2	Interaction with driver	kirp	3
EPHA3	uc003dqy.2-uc010hon.1	Driver	kich	2
EPHA3	uc003dqy.2-uc010hon.1	Driver	hnsc	14
EPHA3	uc003dqy.2-uc010hon.1	Driver	kirp	2
CSNK1D	uc002kei.2-uc002keg.1	Interaction with driver	hnsc	3
GAK	uc003gbl.3-uc003gbk.3	Interaction with driver	hnsc	20
LUM	uc001tbm.2-uc001tbn.2	Driver	prad	10
LUM	uc001tbm.2-uc001tbn.2	Driver	hnsc	7
LUM	uc001tbm.2-uc001tbn.2	Driver	brca	9
UNC45A	uc002bqg.2-uc002bqi.2	Interaction with driver	prad	4
UNC45A	uc002bqg.2-uc002bqi.2	Interaction with driver	luad	9
UNC45A	uc002bqg.2-uc002bqi.2	Interaction with driver	kirc	46
UNC45A	uc002bqg.2-uc002bqi.2	Interaction with driver	hnsc	9
UNC45A	uc002bqg.2-uc002bqi.2	Interaction with driver	kirp	14
UNC45A	uc002bqg.2-uc002bqi.2	Interaction with driver	thca	5
UNC45A	uc002bqg.2-uc002bqi.2	Interaction with driver	brca	42
EIF3B	uc003slx.2-uc003smb.2	Interaction with driver	hnsc	4
EIF3B	uc003slx.2-uc003smb.2	Interaction with driver	kirp	5
EIF3B	uc003slx.2-uc003smb.2	Interaction with driver	brca	22
SUGT1	uc001vhb.2-uc001vha.2	Interaction with driver	thca	18
POLR2B	uc003hcl.1-uc003hcm.1	Driver	kich	5
POLR2B	uc003hcl.1-uc003hcm.1	Driver	lusc	8
POLR2B	uc003hcl.1-uc003hcm.1	Driver	luad	14
POLR2B	uc003hcl.1-uc003hcm.1	Driver	kirc	10
POLR2B	uc003hcl.1-uc003hcm.1	Driver	hnsc	6
POLR2B	uc003hcl.1-uc003hcm.1	Driver	kirp	12
POLR2B	uc003hcl.1-uc003hcm.1	Driver	coad	7
POC1B	uc001tbc.2-uc009zsq.2	Interaction with driver	kich	5
POC1B	uc001tbc.2-uc009zsq.2	Interaction with driver	lusc	3
POC1B	uc001tbc.2-uc009zsq.2	Interaction with driver	kirc	7
POC1B	uc001tbc.2-uc009zsq.2	Interaction with driver	hnsc	9
POC1B	uc001tbc.2-uc009zsq.2	Interaction with driver	kirp	14
PRIM1	uc001smd.2-uc001sme.1	Interaction with driver	kirp	2
GAB1	uc011chq.1-uc003ijd.2	Interaction with driver	lusc	5
BCL2L1	uc002wwn.2-uc002wwm.2	Interaction between drivers	lihc	4
HNRNPU	uc001ibb.1-uc001iba.1	Interaction with driver	coad	5
MACF1	uc010ois.1-uc001cdh.2	Driver	hnsc	3
PIWIL4	uc001pfa.2-uc009ywk.1	Interaction with driver	lusc	5
PIWIL4	uc001pfa.2-uc009ywk.1	Interaction with driver	luad	5
PIWIL4	uc001pfa.2-uc009ywk.1	Interaction with driver	kirp	3
COPS7A	uc001qqi.2-uc001qqm.2	Interaction with driver	kirc	4
TNFRSF1B	uc001att.2-uc009vnk.2	Interaction with driver	kich	2
TNFRSF1B	uc001att.2-uc009vnk.2	Interaction with driver	coad	8
GEFT	uc009zpy.2-uc001spd.2	Interaction with driver	thca	5
RNF8	uc003onq.3-uc011dtx.1	Interaction with driver	prad	4
RNF8	uc003onq.3-uc011dtx.1	Interaction with driver	hnsc	5
RNF8	uc003onq.3-uc011dtx.1	Interaction with driver	thca	7
MINK1	uc010vsl.1-uc010vsp.1	Interaction between drivers	kirp	16
PRDM2	uc001avk.2-uc001avj.2	Interaction with driver	kirc	10
TLR4	uc004bjz.2-uc004bkb.2	Interaction with driver	kich	4
TLR4	uc004bjz.2-uc004bkb.2	Interaction with driver	kirc	26
TLR4	uc004bjz.2-uc004bkb.2	Interaction with driver	coad	3
TAOK2	uc002dva.1-uc002dvd.1	Driver	kirc	6
HNRNPA0	uc003lbt.2-uc010jeo.2	Interaction with driver	luad	27
HNRNPA0	uc003lbt.2-uc010jeo.2	Interaction with driver	kirc	21
HNRNPA0	uc003lbt.2-uc010jeo.2	Interaction with driver	hnsc	11
HNRNPA0	uc003lbt.2-uc010jeo.2	Interaction with driver	kirp	11
HNRNPA0	uc003lbt.2-uc010jeo.2	Interaction with driver	coad	9
AP1G1	uc010cgg.2-uc002faz.2	Interaction with driver	kich	14
AP1G1	uc010cgg.2-uc002faz.2	Interaction with driver	lusc	5
AP1G1	uc010cgg.2-uc002faz.2	Interaction with driver	luad	14
GSK3B	uc003edo.2-uc003edm.2	Interaction between drivers	kirp	2
BECN1	uc002ibn.2-uc010whc.1	Interaction with driver	hnsc	3
BECN1	uc002ibn.2-uc010whc.1	Interaction with driver	kirp	2
PAAF1	uc001ouk.1-uc001oun.1	Interaction with driver	kich	3
PAAF1	uc001ouk.1-uc001oun.1	Interaction with driver	hnsc	9
PAAF1	uc001ouk.1-uc001oun.1	Interaction with driver	kirp	8
PAAF1	uc001ouk.1-uc001oun.1	Interaction with driver	thca	4
RBM7	uc001pow.2-uc001pox.2	Interaction with driver	kirp	2
MTA1	uc001yqx.2-uc001yrb.2	Interaction with driver	kirc	6
MTA1	uc001yqx.2-uc001yrb.2	Interaction with driver	kirp	2
STK36	uc002viu.2-uc002vix.2	Interaction with driver	kich	2
STK36	uc002viu.2-uc002vix.2	Interaction with driver	kirc	12
STK36	uc002viu.2-uc002vix.2	Interaction with driver	hnsc	11
STK36	uc002viu.2-uc002vix.2	Interaction with driver	kirp	10
TRIM33	uc001eex.2-uc001eey.1	Interaction between drivers	kirp	2
GADD45A	uc001ddz.1-uc009wbd.1	Interaction with driver	luad	5
SEPT10	uc002tev.1-uc010fjo.2	Interaction with driver	hnsc	6
FOXO3	uc011ean.1-uc003psn.2	Interaction between drivers	kich	6
FOXO3	uc011ean.1-uc003psn.2	Interaction between drivers	kirc	49
FOXO3	uc011ean.1-uc003psn.2	Interaction between drivers	coad	15
EZR	uc003qru.3-uc011efr.1	Interaction between drivers	kich	3
EZR	uc003qru.3-uc011efr.1	Interaction between drivers	prad	29
EZR	uc003qru.3-uc011efr.1	Interaction between drivers	luad	10
EZR	uc003qru.3-uc011efr.1	Interaction between drivers	kirc	39
EZR	uc003qru.3-uc011efr.1	Interaction between drivers	hnsc	27
SFRS11	uc001des.2-uc001dew.2	Interaction with driver	hnsc	4
TAF15	uc002hkd.2-uc010ctw.1	Driver	kirc	4
MKL2	uc010uza.1-uc002dcj.2	Interaction with driver	kich	7
MKL2	uc010uza.1-uc002dcj.2	Interaction with driver	lusc	6
MKL2	uc010uza.1-uc002dcj.2	Interaction with driver	luad	6
DIS3	uc001viz.2-uc001viy.3	Driver	prad	6
DIS3	uc001viz.2-uc001viy.3	Driver	kirp	15
MYD88	uc011ayi.1-uc011ayk.1	Driver	kirp	24
MYD88	uc011ayi.1-uc011ayk.1	Driver	brca	6
SYK	uc004arb.2-uc011ltr.1	Interaction between drivers	kich	2
SYK	uc004arb.2-uc011ltr.1	Interaction between drivers	kirp	20
SUPT16H	uc001wao.2-uc001wan.2	Interaction with driver	kich	11
SUPT16H	uc001wao.2-uc001wan.2	Interaction with driver	lusc	3
SUPT16H	uc001wao.2-uc001wan.2	Interaction with driver	luad	12
SUPT16H	uc001wao.2-uc001wan.2	Interaction with driver	hnsc	32
SUPT16H	uc001wao.2-uc001wan.2	Interaction with driver	coad	14
PIK3R2	uc002nia.1-uc002nib.1	Interaction between drivers	lusc	7
CCND3	uc003orn.2-uc011duk.1	Interaction between drivers	kirp	29
VCAN	uc003kij.3-uc003kil.3	Interaction with driver	kirc	11
ATXN3	uc001yac.3-uc010twl.1	Interaction with driver	lusc	3
ATXN3	uc001yac.3-uc010twl.1	Interaction with driver	brca	6
NCOA2	uc003xyn.1-uc011lfb.1	Interaction between drivers	lusc	4
PPP3CA	uc003hvu.2-uc010ilk.2	Interaction with driver	kich	2
PPP3CA	uc003hvu.2-uc010ilk.2	Interaction with driver	lusc	7
PPP3CA	uc003hvu.2-uc010ilk.2	Interaction with driver	prad	27
PPP3CA	uc003hvu.2-uc010ilk.2	Interaction with driver	luad	7
PPP3CA	uc003hvu.2-uc010ilk.2	Interaction with driver	hnsc	24
PPP3CA	uc003hvu.2-uc010ilk.2	Interaction with driver	kirp	35
PPP3CA	uc003hvu.2-uc010ilk.2	Interaction with driver	coad	9
POLE	uc001uks.1-uc001ukq.1	Driver	kirc	18
NAIP	uc011crs.1-uc003kat.1	Interaction with driver	kich	4
NAIP	uc011crs.1-uc003kat.1	Interaction with driver	hnsc	5
SEPT1	uc002dxw.2-uc010veq.1	Interaction with driver	kirp	2
TCEA1	uc011ldw.1-uc010lyg.2	Interaction between drivers	kirp	10
MYBL2	uc010zwj.1-uc002xlb.1	Interaction with driver	thca	5
MCPH1	uc003wqh.2-uc003wqi.2	Interaction with driver	kich	3
MCPH1	uc003wqh.2-uc003wqi.2	Interaction with driver	prad	10
MCPH1	uc003wqh.2-uc003wqi.2	Interaction with driver	kirc	11
MCPH1	uc003wqh.2-uc003wqi.2	Interaction with driver	kirp	5
EZR	uc003qrt.3-uc011efr.1	Interaction between drivers	lusc	3
EZR	uc003qrt.3-uc011efr.1	Interaction between drivers	coad	4
CCND3	uc003orp.2-uc003oro.2	Interaction between drivers	brca	13
PPP1R12A	uc001syz.2-uc001syy.2	Interaction with driver	kirp	6
NRCAM	uc003vfc.2-uc011kmj.1	Interaction with driver	kirc	33
GNAS	uc002xzx.2-uc002yab.2	Interaction between drivers	kirp	4
CHN1	uc002ujg.2-uc002uji.2	Interaction between drivers	prad	7
ZMYND11	uc009xhg.2-uc010pzy.1	Interaction with driver	kich	2
SREBF2	uc003bbi.2-uc003bbk.2	Interaction with driver	kich	3
SREBF2	uc003bbi.2-uc003bbk.2	Interaction with driver	coad	11
FGR	uc001bom.2-uc001boi.2	Interaction with driver	kich	5
KLHL8	uc003hql.1-uc003hqm.1	Driver	kirp	2
SOS2	uc001wxs.3-uc010ans.2	Interaction between drivers	kich	5
SOS2	uc001wxs.3-uc010ans.2	Interaction between drivers	hnsc	6
SOS2	uc001wxs.3-uc010ans.2	Interaction between drivers	kirp	4
EIF4B	uc001sbh.3-uc010snv.1	Interaction with driver	coad	8
PPARD	uc003okm.2-uc011dtc.1	Interaction with driver	hnsc	22
PLEKHO1	uc001ett.2-uc001etr.2	Interaction with driver	brca	6
SH2D3A	uc002mft.2-uc010xjg.1	Interaction with driver	prad	9
SH2D3A	uc002mft.2-uc010xjg.1	Interaction with driver	kirc	10
SH2D3A	uc002mft.2-uc010xjg.1	Interaction with driver	hnsc	3
SH2D3A	uc002mft.2-uc010xjg.1	Interaction with driver	kirp	6
SH2D3A	uc002mft.2-uc010xjg.1	Interaction with driver	thca	5
AP2A2	uc009yco.1-uc009ycq.1	Interaction with driver	kirp	3
CASP8	uc002uxr.1-uc002uxn.2	Interaction between drivers	coad	3
TJP2	uc011lrv.1-uc010mom.1	Interaction between drivers	kirc	6
PML	uc002awk.2-uc002awy.2	Interaction between drivers	kirp	2
CARD9	uc004chg.3-uc011mdx.1	Interaction with driver	kich	2
DLG4	uc010vtm.1-uc010vtn.1	Interaction with driver	kirc	4
DLG4	uc010vtm.1-uc010vtn.1	Interaction with driver	hnsc	5
TAF6	uc003utk.2-uc003utg.2	Interaction with driver	prad	7
TAF6	uc003utk.2-uc003utg.2	Interaction with driver	kirc	26
TAF6	uc003utk.2-uc003utg.2	Interaction with driver	hnsc	16
SFRS13A	uc010oee.1-uc001bij.1	Interaction with driver	kirc	9
PLAT	uc003xos.2-uc010lxf.1	Interaction with driver	luad	6
PLAT	uc003xos.2-uc010lxf.1	Interaction with driver	hnsc	9
ANKRD11	uc002fmx.1-uc002fnd.2	Interaction with driver	hnsc	5
CBLB	uc003dwc.2-uc003dwa.2	Interaction between drivers	kich	3
CBLB	uc003dwc.2-uc003dwa.2	Interaction between drivers	kirc	17
CBLB	uc003dwc.2-uc003dwa.2	Interaction between drivers	hnsc	18
CBLB	uc003dwc.2-uc003dwa.2	Interaction between drivers	kirp	30
CBLB	uc003dwc.2-uc003dwa.2	Interaction between drivers	brca	8
PAK3	uc004eoz.2-uc011mst.1	Interaction with driver	lusc	4
PAK3	uc004eoz.2-uc011mst.1	Interaction with driver	kirc	6
HEY1	uc003ybm.2-uc010lzq.2	Interaction between drivers	luad	5
HEY1	uc003ybm.2-uc010lzq.2	Interaction between drivers	kirc	15
SHANK2	uc001opy.2-uc001oqc.2	Interaction with driver	lusc	4
WDR36	uc003kpd.2-uc010jbu.2	Interaction with driver	kirc	6
WDR36	uc003kpd.2-uc010jbu.2	Interaction with driver	kirp	10
CASP2	uc003wco.2-uc011ktb.1	Driver	kich	6
CASP2	uc003wco.2-uc011ktb.1	Driver	lusc	7
CASP2	uc003wco.2-uc011ktb.1	Driver	luad	9
CASP2	uc003wco.2-uc011ktb.1	Driver	hnsc	29
BATF2	uc001ocf.1-uc001oce.1	Interaction with driver	luad	5
BATF2	uc001ocf.1-uc001oce.1	Interaction with driver	kirp	21
HNRNPU	uc001ibb.1-uc001iaz.1	Interaction with driver	kich	4
HNRNPU	uc001ibb.1-uc001iaz.1	Interaction with driver	hnsc	19
HNRNPU	uc001ibb.1-uc001iaz.1	Interaction with driver	brca	8
MAX	uc001xig.1-uc010aql.1	Interaction between drivers	prad	12
MAX	uc001xig.1-uc010aql.1	Interaction between drivers	hnsc	6
MAX	uc001xig.1-uc010aql.1	Interaction between drivers	kirp	6
RBMX	uc004fae.1-uc004fag.1	Interaction between drivers	prad	10
RBMX	uc004fae.1-uc004fag.1	Interaction between drivers	hnsc	12
RBMX	uc004fae.1-uc004fag.1	Interaction between drivers	kirp	4
RBMX	uc004fae.1-uc004fag.1	Interaction between drivers	brca	5
NRCAM	uc003vfc.2-uc003vez.2	Interaction with driver	kirp	13
MAP3K7	uc003pob.1-uc003pny.1	Interaction between drivers	lusc	4
MUS81	uc001ofv.3-uc001ofx.3	Interaction with driver	hnsc	3
MUS81	uc001ofv.3-uc001ofx.3	Interaction with driver	thca	5
CD4	uc001qqv.1-uc010sfk.1	Interaction with driver	kich	12
CD4	uc001qqv.1-uc010sfk.1	Interaction with driver	hnsc	12
CD4	uc001qqv.1-uc010sfk.1	Interaction with driver	brca	29
NR4A1	uc001rzt.2-uc009zmc.2	Interaction with driver	kich	3
NR4A1	uc001rzt.2-uc009zmc.2	Interaction with driver	prad	21
NR4A1	uc001rzt.2-uc009zmc.2	Interaction with driver	kirc	33
NR4A1	uc001rzt.2-uc009zmc.2	Interaction with driver	brca	7
MPRIP	uc002gqu.1-uc010cpl.1	Interaction with driver	kirc	4
MPRIP	uc002gqu.1-uc010cpl.1	Interaction with driver	kirp	2
FKBP1A	uc002wey.2-uc010gad.2	Interaction with driver	kich	3
FKBP1A	uc002wey.2-uc010gad.2	Interaction with driver	luad	5
FKBP1A	uc002wey.2-uc010gad.2	Interaction with driver	kirp	9
ITSN1	uc002ysy.2-uc010gml.2	Interaction between drivers	kirc	32
PPARG	uc003bwx.2-uc003bwv.2	Interaction between drivers	lusc	4
LATS1	uc003qmu.1-uc003qmw.2	Interaction with driver	lusc	22
LATS1	uc003qmu.1-uc003qmw.2	Interaction with driver	coad	3
POLDIP3	uc003bcu.2-uc011apr.1	Interaction with driver	kich	2
POLDIP3	uc003bcu.2-uc011apr.1	Interaction with driver	prad	8
POLDIP3	uc003bcu.2-uc011apr.1	Interaction with driver	kirp	5
TAF9	uc003jwe.1-uc003jwa.2	Interaction with driver	brca	12
VEGFA	uc003owj.2-uc003owk.2	Interaction between drivers	kich	2
VEGFA	uc003owj.2-uc003owk.2	Interaction between drivers	kirc	4
VEGFA	uc003owj.2-uc003owk.2	Interaction between drivers	kirp	6
VEGFA	uc003owf.2-uc003owk.2	Interaction between drivers	luad	58
RBPMS	uc003xie.1-uc003xif.1	Interaction with driver	kirc	4
BOK	uc002wbq.2-uc002wbr.2	Interaction with driver	lusc	6
BOK	uc002wbq.2-uc002wbr.2	Interaction with driver	lihc	4
BOK	uc002wbq.2-uc002wbr.2	Interaction with driver	prad	6
BOK	uc002wbq.2-uc002wbr.2	Interaction with driver	luad	4
BOK	uc002wbq.2-uc002wbr.2	Interaction with driver	kirc	7
BOK	uc002wbq.2-uc002wbr.2	Interaction with driver	hnsc	8
BOK	uc002wbq.2-uc002wbr.2	Interaction with driver	kirp	19
BOK	uc002wbq.2-uc002wbr.2	Interaction with driver	brca	26
CD28	uc010ftx.2-uc002vah.3	Interaction with driver	kich	2
MLPH	uc010fyt.1-uc002vwx.2	Driver	hnsc	5
UBE2L3	uc002zva.1-uc010gti.1	Interaction with driver	luad	4
UBE2L3	uc002zva.1-uc010gti.1	Interaction with driver	coad	5
PTK2	uc003yvu.2-uc011ljp.1	Interaction with driver	kirc	48
PTK2	uc003yvu.2-uc011ljp.1	Interaction with driver	kirp	2
MTA2	uc010rlx.1-uc001ntq.1	Interaction with driver	brca	16
IKZF3	uc010wel.1-uc002hsu.2	Interaction with driver	lusc	11
OGT	uc004eaa.1-uc004ead.2	Interaction with driver	kirc	10
OGT	uc004eaa.1-uc004ead.2	Interaction with driver	kirp	14
SNX1	uc010uio.1-uc010bgv.2	Interaction with driver	hnsc	3
NXF1	uc001nvf.1-uc001nvg.1	Interaction with driver	kich	4
KLHL2	uc003irb.2-uc010ira.2	Interaction with driver	kirc	4
KLHL2	uc003irb.2-uc010ira.2	Interaction with driver	kirp	4
PER1	uc002gkd.2-uc010cns.2	Driver	kich	9
PER1	uc002gkd.2-uc010cns.2	Driver	prad	12
PER1	uc002gkd.2-uc010cns.2	Driver	kirc	64
PER1	uc002gkd.2-uc010cns.2	Driver	kirp	37
PER1	uc002gkd.2-uc010cns.2	Driver	thca	5
BCL2L1	uc002wwl.2-uc002wwm.2	Interaction between drivers	hnsc	13
BCL2L1	uc002wwl.2-uc002wwm.2	Interaction between drivers	kirp	6
CHD3	uc002gjd.2-uc002gjj.2	Interaction between drivers	hnsc	23
LASP1	uc002hra.2-uc010wdz.1	Driver	kirc	10
LASP1	uc002hra.2-uc010wdz.1	Driver	hnsc	23
LASP1	uc002hra.2-uc010wdz.1	Driver	kirp	6
LASP1	uc002hra.2-uc010wdz.1	Driver	brca	22
MCM2	uc003ejp.2-uc010hsl.2	Interaction with driver	kich	2
MCM2	uc003ejp.2-uc010hsl.2	Interaction with driver	prad	8
MCM2	uc003ejp.2-uc010hsl.2	Interaction with driver	kirc	16
MCM2	uc003ejp.2-uc010hsl.2	Interaction with driver	thca	8
RGS5	uc001gcn.2-uc009wvb.2	Interaction with driver	kich	2
RGS5	uc001gcn.2-uc009wvb.2	Interaction with driver	lihc	5
RGS5	uc001gcn.2-uc009wvb.2	Interaction with driver	hnsc	3
RGS5	uc001gcn.2-uc009wvb.2	Interaction with driver	kirp	2
OSMR	uc003jln.1-uc003jlm.1	Interaction with driver	lusc	4
OSMR	uc003jln.1-uc003jlm.1	Interaction with driver	luad	7
PRKCI	uc003fgs.2-uc003fgt.2	Driver	kich	5
PRKCI	uc003fgs.2-uc003fgt.2	Driver	lusc	6
PRKCI	uc003fgs.2-uc003fgt.2	Driver	luad	18
PRKCI	uc003fgs.2-uc003fgt.2	Driver	kirc	15
PRKCI	uc003fgs.2-uc003fgt.2	Driver	kirp	37
PRKCI	uc003fgs.2-uc003fgt.2	Driver	coad	19
DIAPH1	uc003llc.3-uc011dbd.1	Interaction between drivers	kirc	27
DIS3	uc001viz.2-uc001vix.3	Driver	kirc	16
DIS3	uc001viz.2-uc001vix.3	Driver	hnsc	7
OSMR	uc003jln.1-uc011cpj.1	Interaction with driver	kirc	5
OSMR	uc003jln.1-uc011cpj.1	Interaction with driver	kirp	8
INPPL1	uc001osf.2-uc001osg.2	Interaction between drivers	prad	17
INPPL1	uc001osf.2-uc001osg.2	Interaction between drivers	luad	6
INPPL1	uc001osf.2-uc001osg.2	Interaction between drivers	kirc	23
INPPL1	uc001osf.2-uc001osg.2	Interaction between drivers	hnsc	30
INPPL1	uc001osf.2-uc001osg.2	Interaction between drivers	kirp	25
KIF1B	uc001aqv.3-uc001ara.2	Interaction with driver	lusc	3
KIF1B	uc001aqv.3-uc001ara.2	Interaction with driver	luad	5
GAK	uc003gbm.3-uc010ibi.2	Interaction with driver	prad	7
CAMK2A	uc003lrs.2-uc003lru.2	Interaction with driver	lusc	4
UHRF2	uc003zjy.2-uc003zkb.2	Interaction with driver	kich	2
UHRF2	uc003zjy.2-uc003zkb.2	Interaction with driver	lihc	6
UHRF2	uc003zjy.2-uc003zkb.2	Interaction with driver	kirc	10
UHRF2	uc003zjy.2-uc003zkb.2	Interaction with driver	hnsc	5
UHRF2	uc003zjy.2-uc003zkb.2	Interaction with driver	kirp	15
NAP1L4	uc010qxn.1-uc009ydt.2	Interaction with driver	hnsc	6
CASK	uc004dfn.3-uc004dfj.3	Interaction with driver	kirc	11
CASK	uc004dfn.3-uc004dfj.3	Interaction with driver	hnsc	4
CASK	uc004dfn.3-uc004dfj.3	Interaction with driver	kirp	8
RARA	uc002hul.3-uc010wfe.1	Interaction between drivers	prad	12
HNRNPR	uc001bgs.3-uc001bgo.2	Interaction with driver	kich	3
HNRNPR	uc001bgs.3-uc001bgo.2	Interaction with driver	lusc	4
HNRNPR	uc001bgs.3-uc001bgo.2	Interaction with driver	prad	6
HNRNPR	uc001bgs.3-uc001bgo.2	Interaction with driver	luad	16
HNRNPR	uc001bgs.3-uc001bgo.2	Interaction with driver	kirc	5
HNRNPR	uc001bgs.3-uc001bgo.2	Interaction with driver	kirp	14
HNRNPR	uc001bgs.3-uc001bgo.2	Interaction with driver	coad	5
TRIO	uc003jff.2-uc003jfg.2	Interaction between drivers	hnsc	6
MLH3	uc010tuy.1-uc001xre.1	Interaction between drivers	kirc	11
PPARGC1A	uc003gqs.2-uc003gqt.2	Interaction with driver	lusc	5
COL18A1	uc002zhg.2-uc002zhj.2	Interaction between drivers	kich	2
EIF2C3	uc001bzp.2-uc001bzo.2	Interaction between drivers	lusc	7
PEA15	uc001fvk.2-uc001fvm.2	Interaction with driver	prad	7
PEA15	uc001fvk.2-uc001fvm.2	Interaction with driver	kirp	5
PEA15	uc001fvk.2-uc001fvm.2	Interaction with driver	brca	6
MDM2	uc001sui.2-uc009zrf.2	Interaction between drivers	kirp	2
CTBP1	uc003gcu.1-uc003gcw.2	Interaction with driver	kirc	5
CTBP1	uc003gcu.1-uc003gcw.2	Interaction with driver	kirp	4
CRKL	uc002ztf.2-uc002ztg.1	Interaction between drivers	prad	4
CRKL	uc002ztf.2-uc002ztg.1	Interaction between drivers	kirc	5
CRKL	uc002ztf.2-uc002ztg.1	Interaction between drivers	kirp	5
CRKL	uc002ztf.2-uc002ztg.1	Interaction between drivers	thca	7
CRKL	uc002ztf.2-uc002ztg.1	Interaction between drivers	brca	5
SNCAIP	uc003ksw.1-uc003ktc.1	Interaction with driver	kirc	4
SNCAIP	uc003ksw.1-uc003ktc.1	Interaction with driver	hnsc	6
TNFRSF4	uc001ade.2-uc001adf.2	Interaction with driver	kirp	2
AKT1	uc010axa.2-uc001ypj.2	Interaction between drivers	prad	8
AKT1	uc010axa.2-uc001ypj.2	Interaction between drivers	thca	4
IRAK1	uc004fjs.1-uc010nur.2	Interaction with driver	kich	3
IRAK1	uc004fjs.1-uc010nur.2	Interaction with driver	prad	6
IRAK1	uc004fjs.1-uc010nur.2	Interaction with driver	luad	5
IRAK1	uc004fjs.1-uc010nur.2	Interaction with driver	hnsc	15
IRAK1	uc004fjs.1-uc010nur.2	Interaction with driver	kirp	20
IRF8	uc002fjh.2-uc010chp.2	Interaction with driver	kich	4
IRF8	uc002fjh.2-uc010chp.2	Interaction with driver	prad	14
IRF8	uc002fjh.2-uc010chp.2	Interaction with driver	kirc	36
IRF8	uc002fjh.2-uc010chp.2	Interaction with driver	hnsc	30
IRF8	uc002fjh.2-uc010chp.2	Interaction with driver	kirp	39
IRF8	uc002fjh.2-uc010chp.2	Interaction with driver	coad	5
MAP4K3	uc002rrp.2-uc010yns.1	Driver	lusc	11
MAP4K3	uc002rrp.2-uc010yns.1	Driver	hnsc	3
MAP4K3	uc002rrp.2-uc010yns.1	Driver	kirp	2
MAP4K3	uc002rrp.2-uc010yns.1	Driver	coad	14
DNMT1	uc002mng.2-uc002mne.2	Interaction between drivers	kirp	4
SF1	uc001obb.1-uc010rnm.1	Interaction with driver	kich	4
SF1	uc001obb.1-uc010rnm.1	Interaction with driver	prad	17
SF1	uc001obb.1-uc010rnm.1	Interaction with driver	hnsc	26
SF1	uc001obb.1-uc010rnm.1	Interaction with driver	kirp	6
CLIP1	uc001uci.1-uc001ucf.1	Driver	kich	2
AKT1	uc010axa.2-uc010tyk.1	Interaction between drivers	lusc	3
AKT1	uc010axa.2-uc010tyk.1	Interaction between drivers	luad	17
AKT1	uc010axa.2-uc010tyk.1	Interaction between drivers	kirc	35
AKT1	uc010axa.2-uc010tyk.1	Interaction between drivers	hnsc	19
AKT1	uc010axa.2-uc010tyk.1	Interaction between drivers	kirp	40
AKT1	uc010axa.2-uc010tyk.1	Interaction between drivers	coad	8
AKT1	uc010axa.2-uc010tyk.1	Interaction between drivers	brca	9
VARS	uc003nxe.2-uc003nxf.1	Interaction with driver	kich	7
VARS	uc003nxe.2-uc003nxf.1	Interaction with driver	lusc	6
VARS	uc003nxe.2-uc003nxf.1	Interaction with driver	hnsc	15
PTPN12	uc003ugh.2-uc010lds.2	Interaction with driver	kich	5
PTPN12	uc003ugh.2-uc010lds.2	Interaction with driver	lusc	6
PTPN12	uc003ugh.2-uc010lds.2	Interaction with driver	prad	8
PTPN12	uc003ugh.2-uc010lds.2	Interaction with driver	luad	6
PTPN12	uc003ugh.2-uc010lds.2	Interaction with driver	hnsc	31
PTPN12	uc003ugh.2-uc010lds.2	Interaction with driver	kirp	30
PTPN12	uc003ugh.2-uc010lds.2	Interaction with driver	coad	6
AR	uc004dwu.1-uc011mpd.1	Interaction between drivers	kich	2
FNBP1	uc004byx.1-uc004byv.1	Interaction between drivers	kirp	15
ZBTB32	uc002oaz.2-uc002oay.2	Interaction with driver	luad	34
ZBTB32	uc002oaz.2-uc002oay.2	Interaction with driver	kirp	9
ZBTB32	uc002oaz.2-uc002oay.2	Interaction with driver	coad	22
GRB2	uc002jnx.3-uc002jny.3	Interaction with driver	lihc	6
GRB2	uc002jnx.3-uc002jny.3	Interaction with driver	prad	11
GRB2	uc002jnx.3-uc002jny.3	Interaction with driver	kirp	2
GRB2	uc002jnx.3-uc002jny.3	Interaction with driver	thca	11
